recipe_name,prep_time,cook_time,total_time,ingredients_list,direction_list,calories,grams_of_fat,grams_of_carbs,grams_of_protein
Dutch Oven Whole Wheat Bread,20 mins,40 mins, 8 hrs 45 mins,"warm water,active dry yeast,agave nectar,whole wheat flour,salt"," Pour water into a microwave-safe measuring cup and heat in the microwave oven for about 1 minute. Check temperature using a food thermometer to be sure water is no hotter than 100 degrees F (38 degrees C). Add yeast and agave; let sit until foamy, about 15 minutes.
, Combine flour and salt in a large bowl. Add yeast mixture; stir to combine and knead a few times. Cover bowl and let dough rise in a warm place until doubled in size, overnight to 18 hours.
, Turn dough out onto a floured surface. Knead 5 to 10 times using floured hands. Shape dough into a ball and let rise while oven is preheating.
, Preheat the oven to 450 degrees F (230 degrees C) and place a Dutch oven inside to warm for 30 minutes.
, Use floured hands to carefully drop dough into the hot Dutch oven. Use potholders to place the lid on the Dutch oven.
, Bake in the hot oven for 30 minutes. Uncover Dutch oven and bake until bread is deep golden brown, 10 to 15 minutes more. Remove and let cool.
",125,1g ,27g ,5g 
Hearty Multigrain Bread,5 mins,55 mins, 2 hrs,"water,butter, softened,salt,sunflower seeds,sesame seeds,flax seeds,millet,quinoa,bread flour,whole wheat flour,dry milk powder,packed brown sugar,bread machine yeast"," Place water, butter, salt, sunflower seeds, sesame seeds, flax seeds, millet, quinoa, bread flour, wheat flour, milk powder, brown sugar, and yeast into a bread machine in the order listed, or follow the order recommended by the manufacturer if different. Run Basic cycle. Remove loaf from the machine after the cycle is done, 2 hours and 55 minutes.
",124,2g ,23g ,4g 
Potato Chapati Bread,20 mins,15 mins,10 mins,"mashed potatoes,salt to taste,cayenne pepper,ground turmeric,fresh cilantro, finely chopped,vegetable oil,whole wheat flour,vegetable oil for frying, or as needed,butter, melted"," Mix mashed potatoes, salt, cayenne, turmeric, cilantro, and 3 tablespoons vegetable oil in a bowl until well combined. Add flour, a little at a time, and knead until a stiff but pliable dough forms; if dough becomes too stiff, add a few drops of water. Transfer dough to an oiled bowl and turn to coat. Cover with plastic wrap and set aside for 10 minutes.
, Preheat a nonstick griddle to medium heat.
, Divide dough into eight lemon-sized portions and roll out on a lightly floured surface to a 1/4-inch thickness. Working in batches, fry chapatis on the hot griddle using up to 1 teaspoon of oil for each side. Cook until brown spots have started to form on the bread and the dough is cooked through. Brush with melted butter and serve hot.
",540,35g ,52g ,9g 
Cracked Wheat Bread,20 mins,30 mins, 1 hr 40 mins,"warm water,cracked wheat,active dry yeast,warm water (110 degrees F/45 degrees C),butter, softened,salt,molasses,honey,milk,whole wheat flour,all-purpose flour"," In a small saucepan, bring water to a boil. Stir in cracked wheat and simmer for 10 minutes; let cool to lukewarm. In a small bowl, dissolve yeast in 1/3 cup of warm water. Let stand until creamy, about 10 minutes.
, Pour cracked wheat mixture into a large bowl. Stir in butter, salt, molasses, honey, milk, yeast mixture, whole wheat flour, and 2 cups of all-purpose flour; stir well to combine. Stir in remaining flour, 1/2 cup at a time, beating well after each addition.
, When dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 10 minutes. Lightly oil a large bowl, place dough in the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour.
, Deflate dough and turn it out onto a lightly floured surface. Divide dough into two equal pieces and form into loaves. Place loaves into two lightly greased 9x5-inch loaf pans. Cover loaves with a damp cloth and let rise until doubled in volume, about 40 minutes. Meanwhile, preheat the oven to 375 degrees F (190 degrees C).
, Bake in the preheated oven, 30 to 35 minutes, or until loaves sound hollow when tapped on top and bottom. Cool on racks.
",151,2g ,30g ,4g 
Oatcakes,25 mins,20 mins,45 mins,"rolled oats,whole wheat flour,white sugar,salt,baking soda,cold butter, cubed,hot water, or as needed"," Preheat the oven to 375 degrees F (190 degrees C). Line a heavy baking sheet with parchment paper.
, Mix oats, whole wheat flour, sugar, salt, and baking soda together in a bowl. Rub in butter with your fingers, until mixture is chunky. Pour in enough water to form a thick dough.
, Spread a thin layer of oats and whole wheat flour on a flat work surface. Turn out dough and pat to an even thickness. Cut into circles using the rim of a drinking glass. Transfer to the prepared baking sheet.
, Bake in the preheated oven until golden brown, 20 to 30 minutes.
",199,10g ,25g ,5g 
Chef John's Whole Wheat Ciabatta,30 mins,30 mins, 16 hrs 30 mins,"warm water,all-purpose flour,whole wheat flour,rye flour,active dry yeast,all-purpose flour,whole wheat flour,water at room temperature,shelled sunflower seeds,polenta,ground flax seeds,salt,honey,all-purpose flour, for dusting,cornmeal, or as needed"," Make the sponge: Stir warm water, flours (all-purpose flour, whole wheat, and rye), and yeast together in a large bowl until well combined. Cover the bowl with plastic wrap and let sit until bubbly and doubled in volume, 5 to 6 hours.
, Start the ciabatta: Stir all-purpose flour, whole wheat flour, water, sunflower seeds, polenta, flax seeds, salt, and honey into sponge with a wooden spoon until a very sticky dough ball forms, about 3 minutes. Scrape down the sides of the bowl, cover the bowl with plastic wrap, and let rise until doubled in volume, 10 hours to overnight.
, Line a baking sheet with parchment paper. Dust parchment paper with 1/2 teaspoon all-purpose flour and cornmeal.
, Scrape dough out of the bowl onto a lightly floured work surface; press down to remove air, then form into a smooth oval loaf. Place dough onto the prepared baking sheet. Dust top of loaf lightly with remaining 1/2 teaspoon all-purpose flour, cover with plastic wrap, and let rise until doubled in volume, about 1 1/2 hours.
, Preheat the oven to 450 degrees F (230 degrees C). Place a baking dish filled with water on the bottom rack of the oven.
, Remove plastic wrap from risen dough and mist the top of the dough with water.
, Bake in the preheated oven, misting the top of the loaf with water every 8 to 10 minutes, until loaf is golden and sounds hollow when tapped, 30 to 35 minutes total. Transfer bread to a cooling rack and let cool completely before slicing.
",135,2g ,27g ,5g 
Pizza Dough,25 mins, 1 hr 20 mins, 1 hr 45 mins,"active dry yeast,white sugar,warm water (110 degrees F),whole wheat flour,olive oil,salt,bread flour"," Dissolve yeast and sugar in warm water in a large bowl. Let sit until creamy, about 10 minutes.
, Stir whole wheat flour, oil, and salt into yeast mixture, then stir in 4 cups bread flour. Add remaining 1 1/2 cups bread flour, 1/2 cup at a time, stirring well after each addition. When dough pulls together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 minutes.
, Lightly oil a large mixing bowl. Place dough into the bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in size, about 1 hour.
, Punch down dough and turn it out onto a lightly floured surface. Divide into thirds and form each piece into a round. Cover and let rest for 10 minutes.
",121,2g ,22g ,4g 
Bread Machine Ezekiel Bread,15 mins,40 mins, 2 hrs 20 mins,"dry black beans,dry lentils,dry kidney beans,barley,warm milk,warm water,egg,olive oil,honey,unbleached all-purpose flour,whole wheat flour,millet flour,rye flour,cracked wheat,wheat germ,salt,bread machine yeast"," Grind black beans, lentils, kidney beans, and barley in a coffee grinder until fine.
, Place warm milk, warm water, egg, oil, honey, all-purpose flour, whole wheat flour, millet flour, rye flour, cracked wheat, ground bean mixture, wheat germ, salt, and yeast into a bread machine in the order listed. Run Dough cycle. Remove dough from the machine after the cycle is done, about 90 minutes.
, Roll dough out onto a pastry cloth, then form into a loaf. Place loaf into a greased pan; cover with a damp cloth and let rise until doubled in volume, about 40 minutes.
, Preheat the oven to 375 degrees F (190 degrees C).
, Bake in the preheated oven for 10 minutes. Lower the oven temperature to 350 degrees F (175 degrees C) and continue to bake until loaf is browned, 30 to 35 minutes more. Cool in the pan for 10 minutes, then transfer to a wire rack and let cool completely before slicing.
",192,5g ,32g ,7g 
Whole Wheat Pumpkin Bread,10 mins,50 mins,20 mins,"raisins,whole wheat flour,all-purpose flour,ground cinnamon,baking soda,baking powder,salt,ground cloves,ground nutmeg,pumpkin puree,white sugar,eggs,canola oil,coarsely chopped walnuts"," Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x5-inch loaf pan.
, Place raisins in a bowl and pour in boiling water to cover by 1 inch. Allow to sit until raisins are plump and rehydrated, 3 to 4 minutes. Drain raisins, reserving 1/3 cup soaking water in a separate bowl.
, Combine whole wheat flour, all-purpose flour, cinnamon, baking soda, baking powder, salt, cloves, and nutmeg in a large bowl. Combine pumpkin, sugar, eggs, reserved soaking water, and oil in another bowl; mix with a spoon or whisk until well combined. Stir pumpkin mixture into flour mixture until just moistened. Fold in walnuts and raisins. Pour batter into the prepared loaf pan.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 50 to 55 minutes. Allow to cool in the pan for 15 minutes then transfer to a wire rack.
",179,8g ,25g ,3g 
Fabulous Homemade Bread for the Food Processor,20 mins,35 mins, 2 hrs 15 mins,"warm water (100 to 110 degrees F/40 to 45 degrees C),bread flour,active dry yeast,white sugar,bread flour,quick-cooking oats,whole wheat flour,brown sugar,vegetable oil,salt"," Pour warm water into a large bowl. Whisk in 4 teaspoons bread flour, yeast, and white sugar until thoroughly combined and sugar has dissolved. Let stand until yeast starts to form creamy bubbles, about 5 minutes.
, Combine 3 1/2 cups bread flour, oats, whole wheat flour, brown sugar, oil, and salt in a large food processor fitted with the dough blade. Start the processor and slowly add enough of the yeast mixture to allow the dough to form a firm ball and pull away from the sides of the processor, about 1 minute. Process for another 30 seconds to knead.
, Transfer dough to an oiled bowl and turn until coated. Cover with a damp cloth and let rise until doubled in volume, about 1 hour. Punch down the dough, then divide in half. Form each piece into a loaf; pinch the seams and ends closed.
, Grease two 4x8-inch loaf pans. Place the loaves into the pans, seam-side down. Let rise until dough is one inch above the top of the pans, about 1 more hour.
, Preheat the oven to 350 degrees F (175 degrees C).
, Bake in the preheated oven until the tops are browned, about 35 minutes. Let bread cool in the pans for 10 minutes, then turn out onto cooling racks to finish cooling.
",171,4g ,29g ,5g 
Whole Wheat Wraps,30 mins,20 mins,20 mins,"whole wheat flour,salt,baking powder,warm water"," In a large bowl, stir together flour, salt and baking powder. Pour in water; stir to combine. Mix in additional water in 1 tablespoon increments, until a soft pliable dough is formed.
, Knead briefly on a lightly floured surface. Divide dough into 16 equal pieces. Cover and let rest for 20 minutes.
, Flour each ball well, place between two pieces of wax paper and roll out to desired size and thickness.
, Heat an ungreased skillet or frying pan over medium-high heat. Peel away wax paper and grill rounds until brown flecks appear underneath. Turn and cook other side. Serve warm or cool and store in an airtight container in the refrigerator or freezer.
",102,1g ,22g ,4g 
Rustic Whole Wheat Bread,15 mins,25 mins,25 mins,"all-purpose flour,whole wheat flour,brown sugar,instant yeast,salt,warm water (110 to 120 degrees F),vegetable oil"," Stir together all-purpose flour, whole wheat flour, brown sugar, instant yeast, and salt in the bowl of an electric mixer fitted with a dough hook attachment. Whisk together water and oil in a cup; pour into flour mixture. Mix on low speed until dough pulls away from the sides of the bowl into a ball.
, Turn dough out onto a lightly floured surface; knead just until dough is smooth, about 1 minute. Divide and shape dough into 3 balls for small loaves or 2 balls for larger loaves. Dust loaves with flour and place onto a baking sheet. Cover with a towel and let rise until doubled in size, about 25 minutes.
, Preheat the oven to 375 degrees F (190 degrees C). Slash an ""X"" about 1/4-inch deep in tops of loaves with a sharp knife.
, Bake in the preheated oven until loaves are golden brown and sound hollow when tapped, about 25 minutes. Remove from the oven; transfer loaves to a wire rack to cool completely.
",127,2g ,25g ,4g 
Healthy Whole Wheat Bread Machine Buns,10 mins,15 mins, 2 hrs 35 mins,"warm water,egg,olive oil,honey,molasses,chia seeds,whole wheat flour,salt,active dry yeast,cooking spray,butter, melted, or more as needed"," Place warm water, egg, olive oil, honey, molasses, chia seeds, whole wheat flour, salt, and yeast into a bread machine in the order listed by the manufacturer. Run Dough cycle. Remove dough from the machine after the cycle is done, about 1 hour 30 minutes.
, Spray a baking sheet with nonstick cooking spray. Form dough into 12 buns and arrange on the baking sheet. Let rise until doubled in size, about 55 minutes.
, Preheat the oven to 400 degrees F (200 degrees C).
, Bake in the preheated oven until buns are golden brown, about 14 minutes. Let cool for 10 minutes before transferring to a wire rack. Brush with melted butter.
",188,4g ,34g ,6g 
Steakhouse Wheat Bread for the Bread Machine,10 mins, 3 hrs, 3 hrs 10 mins,"warm water,butter, softened,honey,salt,instant coffee granules,unsweetened cocoa powder,white sugar,bread flour,whole wheat flour,bread machine yeast"," Place warm water, butter, honey, salt, coffee, cocoa, sugar, bread flour, whole wheat flour, and bread machine yeast in the pan of a bread machine in the order listed. Put on regular or basic cycle with light crust.
",167,2g ,34g ,5g 
High Fiber Bread,10 mins,20 mins, 2 hrs,"warm water,molasses,active dry yeast,whole wheat flour,ground flax seed,bread flour,oat bran,rolled oats,amaranth seeds,salt"," Place water, molasses, yeast, wheat flour, ground flax seed, bread flour, oat bran, rolled oats, amaranth seeds, and salt in the pan of a bread machine in the order recommended by the manufacturer. Select dough cycle; press start and allow machine to run complete dough cycle.
, Turn dough onto a lightly floured surface. Form dough into 2 loaves and place on a baking stone. Cover loaves with a damp cloth and let rise until doubled in volume, about 1 hour.
, Preheat the oven to 375 degrees F (190 degrees C).
, Bake in the preheated oven until top is golden brown, 20 to 25 minutes. Slide loaf onto a work surface and gently tap bottom of loaf. If it sounds hollow, the bread is done.
",101,2g ,18g ,4g 
Whole Wheat Beer Bread,10 mins,50 mins, 1 hr,"all-purpose flour,whole wheat flour,baking powder,salt,packed brown sugar,beer"," Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x5 inch loaf pan.
, In a large mixing bowl, combine all-purpose flour, whole wheat flour, baking powder, salt and brown sugar. Pour in beer, stir until a stiff batter is formed. It may be necessary to mix dough with your hands. Scrape dough into prepared loaf pan.
, Bake in preheated oven for 50 to 60 minutes, until a toothpick inserted into center of the loaf comes out clean.
",144,0g ,30g ,4g 
Mexican Whole Wheat Flour Tortillas,15 mins,1 mins, 1 hr 20 mins,"all-purpose flour,whole wheat bread flour,shortening,salt,boiling water,all-purpose flour for rolling"," In a large bowl, stir together 1 cup all-purpose flour, the whole wheat flour, and salt. Rub in the shortening by hand until the mixture is the texture of oatmeal. Make a well in the center, and pour in the boiling water. Mix with a fork until all of the water is evenly incorporated. Sprinkle with a bit of additional flour, and knead until the dough does not stick to your fingers. The dough should be smooth.
, Make balls the size of golf balls, about 2 ounces each. Place them on a tray, and cover with a cloth. Let stand for at least 1 hour, or up to 8 hours.
, Heat a griddle or large frying pan over high heat. On a lightly floured surface, roll out a tortilla to your preferred thinness. Fry one at a time. Place on the griddle for 10 seconds, as soon as you see a bubble on the top, flip the tortilla over. Let it cook for about 30 seconds, then flip and cook the other side for another 30 seconds. Roll out the next tortilla while you wait for that one to cook. Repeat until all of the balls have been cooked. Tortillas can be refrigerated or frozen.
",179,6g ,27g ,5g 
High-Protein Bread,5 mins,55 mins, 2 hrs,"water,honey,canola oil,bread flour,whole wheat flour,soy flour,powdered soy milk,oat bran,salt,active dry yeast"," Place water, honey, canola oil, bread flour, whole wheat flour, soy flour, powdered soy milk, oat bran, salt, and yeast into a bread machine in the order listed, or follow the order recommended by the manufacturer if different. Run Basic Medium or Regular cycle. Remove loaf from the machine after the cycle is done, about 2 hours 55 minutes.
",137,2g ,24g ,7g 
Light Wheat Rolls,30 mins,15 mins, 2 hrs 20 mins,"active dry yeast,warm water (110 degrees F/45 degrees C),white sugar,salt,butter, melted and cooled,egg, beaten,whole wheat flour,all-purpose flour,butter, melted"," In a large bowl, dissolve yeast in warm water. Let stand until creamy, about 10 minutes.
, Mix sugar, salt, 1/4 cup melted butter, egg, and whole wheat flour into yeast mixture. Stir in all-purpose flour, 1/2 cup at a time, until dough pulls away from the sides of the bowl. Turn dough out onto a well floured surface, and knead until smooth and elastic, about 8 minutes. Lightly oil a large bowl, place dough in bowl, and turn to coat. Cover with a damp cloth, and let rise in a warm place until doubled in volume, about 1 hour.
, Punch down dough, cover, and let rise in warm place until doubled again, about 30 minutes.
, Grease 2 dozen muffin cups. Punch down dough, and divide into two equal portions. Roll each into a 6x14 inch rectangle, and cut rectangle into twelve 7x1 inch strips. Roll strips up into spirals, and place into muffin cups. Brush tops with melted butter. Let rise uncovered in a warm place 40 minutes, or until doubled in bulk.
, Preheat oven to 400 degrees F (200 degrees C). Bake for 12 to 15 minutes, or until golden brown. Remove from oven, and brush again with melted butter.
",140,4g ,23g ,3g 
Pain de Campagne - Country French Bread, 3 hrs,25 mins, 2 hrs,"instant yeast,warm water (110 degrees F/45 degrees C),whole wheat flour,warm water,instant yeast,unbleached bread flour,kosher salt,cornmeal for dusting"," To make the poolish, whisk 1/2 teaspoon yeast into 1/2 cup warm water — 110 degrees F (45 degrees C) — in a bowl. Stir in whole wheat flour until resembles a thick batter. Beat for about 100 strokes to form longs strands of gluten. Cover bowl with a damp cloth and let sit at room temperature for 2 to 8 hours (longer is better for flavor development). You can also ripen in the refrigerator for 12 to 15 hours, bringing poolish back to room temperature before proceeding with the recipe. Poolish is ready when bubbly and loose, with a yeasty, sour aroma.
, Scrape poolish into a bowl; stir in 2 1/2 cups warm water and remaining 1/2 teaspoon yeast until combined. Add bread flour, 1 cup at a time, mixing well after each addition, until dough becomes too difficult to stir.
, Turn dough out onto a floured work surface and knead for 10 to 12 minutes, adding more flour only when dough becomes too sticky to handle. Sprinkle salt over dough; continue kneading until smooth and springs back to the touch, 5 to 7 minutes more. Shape dough into a round; cover with a damp cloth for 5 to 10 minutes.
, Place dough in a large, lightly oiled bowl and turn to coat. Cover with a damp cloth and let rise at room temperature until doubled in volume, 2 to 3 hours.
, Punch down dough to deflate; cut into two pieces. Shape into two rounds, cover with plastic wrap or a damp cloth, and allow to rest for 30 minutes at room temperature.
, Form dough rounds into baguettes. Place a heavily floured cloth on a baking sheet, arranging a fold down the center to separate the loaves. Place loaves, seam-sides up, on the floured cloth. Dust loaf tops with flour, cover with a damp cloth, and let rise until doubled in volume, about 2 hours.
, Preheat the oven to 375 degrees F (190 degrees C).
, Sprinkle a separate baking sheet with cornmeal. Gently transfer risen loaves to prepared baking sheet, seam-sides down. Slash loaves several times on the diagonal with a serrated knife or razor blade.
, Immediately place scored loaves in the preheated oven; bake until loaves are golden brown, about 25 to 30 minutes. Cool loaves on wire racks.
",48,0g ,10g ,2g 
Guinness Bread,15 mins, 1 hr,30 mins,"regular rolled oats, plus additional,whole wheat flour,brown sugar,baking soda,baking powder,salt,melted butter,vanilla extract,buttermilk,Guinness"," Preheat oven to 425 degrees F (220 degrees C). Grease an 8x8-inch baking pan.
, Mix together the oats, flour, sugar, baking soda, baking powder, and salt in a bowl. In a separate large bowl, stir together the butter, vanilla, buttermilk, and Guinness. Pour the flour mixture into the beer mixture, and gently stir until well blended. Pour batter into the prepared baking pan, and sprinkle with additional oats if desired.
, Bake in preheated oven for 30 minutes, then turn the temperature down to 400 degrees F (200 degrees C), and bake for an additional 30 minutes. Turn the oven off, open the door, and allow to cool for 30 minutes in the oven before turning out onto a wire rack.
",185,5g ,30g ,5g 
Oatmeal Whole Wheat Quick Bread,20 mins,20 mins,40 mins,"rolled oats,whole wheat flour,baking powder,salt,honey,vegetable oil,milk"," Preheat oven to 450 degrees F (230 degrees C).
, Grind oatmeal in a food processor or blender. In a large bowl, combine oatmeal, flour, baking powder and salt. In a separate bowl, dissolve honey in vegetable oil then stir in the milk. Combine both mixtures and stir until a soft dough is formed. Form the dough into a ball and place on a lightly oiled baking sheet.
, Bake in preheated oven for about 20 minutes, or until bottom of loaf sounds hollow when tapped.
",88,2g ,15g ,3g 
Chef John's Easy Homemade Pizza Dough,10 mins,10 mins, 18 hrs 15 mins,"whole wheat flour,all-purpose flour,active dry yeast,salt,white sugar,olive oil,warm water (100 degrees F or 38 degrees C),all-purpose flour, for dusting"," Stir whole wheat flour, all-purpose flour, yeast, salt, sugar, olive oil, and warm water with a spatula until formed into a sticky ball of dough that pulls away from sides of a large bowl, about 3-4 minutes.
, Cover the bowl with a light cloth or plastic wrap and let rise in a warm place (80 to 95 degrees F (27 to 35 degrees C)) for 18 hours, until doubled in size.
, Preheat the oven to 550 degrees F (280 degrees C). Sprinkle a baking sheet with cornmeal.
, Turn the dough onto a lightly floured surface and sprinkle with more flour. Form the dough into a rectangle, and cut it into four equal parts. Shape each piece into a ball, stretching and tucking the dough to create a smooth surface, adding more flour if needed. Cover the dough balls with a towel and let rest for 15 minutes.
, To shape the dough, sprinkle the surface with flour and lightly pat flat. Use a rolling pin to form a thin disk about 9 inches in diameter.
, Transfer the formed crust to the prepared baking sheet and top as desired. Bake on the bottom rack for 4 minutes, move to the middle rack and bake for 5-6 minutes more minutes, until the bottom is crispy and the top is lightly browned. Move to cooling rack to cool slightly before serving.
",485,8g ,89g ,12g 
Irresistible Whole Wheat Challah,30 mins,30 mins, 1 hr 40 mins,"whole wheat flour,salt,active dry yeast,vital wheat gluten (Optional),honey,olive oil,warm water,eggs,raisins, to taste (Optional)"," In a large bowl, stir together the flour, salt, yeast, and vital wheat gluten until well mixed. In another bowl, stir together the honey, olive oil, water, eggs, and raisins. Pour the liquid mixture into the flour mixture, and stir until it forms a dough.
, Turn the dough out onto a floured surface, and knead until smooth and elastic, about 10 minutes. Form the dough into a round shape. Lightly oil a bowl, place the dough in the bowl, and turn the dough over a few times to oil the surface. Cover the bowl with a cloth, and let rise in a warm, draft-free place until doubled, about 1 hour.
, Punch down the dough, knead it a few times to remove some of the bubbles, and cut it into 2 equal-sized pieces. Set 1 piece of dough aside under a cloth to prevent drying out while you shape or braid the first loaf as desired.
, Working on a floured surface, roll the small dough pieces into ropes about the thickness of your thumb and about 12 inches long. Ropes should be fatter in the middle and thinner at the ends. Pinch 3 ropes together at the top and braid them. Starting with the strand to the right, move it to the left over the middle strand (that strand becomes the new middle strand.) Take the strand farthest to the left, and move it over the new middle strand. Continue braiding, alternating sides each time, until the loaf is braided, and pinch the ends together and fold them underneath for a neat look. Repeat for the other loaf, place the braided loaves on a baking sheet lined with parchment paper, and let rise in a warm place until doubled, about 30 minutes.
, Preheat oven to 350 degrees F (175 degrees C).
, Bake in the preheated oven until golden brown, about 30 minutes. Serve warm for best flavor.
",215,8g ,33g ,6g 
Flax and Sunflower Seed Bread,10 mins,30 mins, 2 hrs 20 mins,"water,butter, softened,honey,bread flour,whole wheat bread flour,salt,active dry yeast,flax seeds,sunflower seeds"," Place all ingredients (except sunflower seeds) in the pan of the bread machine in the order recommended by the manufacturer. Select Basic White Cycle; press Start. Add the sunflower seeds when the alert sounds during the Knead Cycle.
",140,4g ,23g ,4g 
Fluffy Whole Wheat Biscuits,15 mins,10 mins,25 mins,"all-purpose flour,whole wheat flour,baking powder,white sugar,salt,butter,buttermilk"," Preheat the oven to 450 degrees F (230 degrees C).
, Combine all-purpose flour, whole wheat flour, baking powder, sugar, and salt in a large bowl. Cut in cold butter with 2 knives or a pastry blender until the mixture resembles coarse crumbs; stir in buttermilk until just moistened.
, Turn dough out on a lightly floured surface; knead gently 8 to 10 times. Roll out to about 3/4-inch thick. Use a 2 1/2-inch round biscuit cutter to cut biscuits; reroll any scraps to cut more biscuits. Place biscuits on an ungreased baking sheet.
, Bake in preheated oven until biscuits are lightly browned, 10 to 12 minutes.
",119,4g ,18g ,3g 
Indian Chapati Bread,15 mins,10 mins,5 mins,"whole wheat flour,all-purpose flour,salt,hot water or as needed,olive oil or vegetable oil"," Gather all ingredients.
,Dotdash Meredith Food Studios, Mix whole wheat flour, all-purpose flour, and salt in a large bowl. Use a wooden spoon to stir in water and oil. Mix until a soft, elastic dough forms and add more water, if needed.
,Dotdash Meredith Food Studios, Knead dough on a lightly floured surface until smooth.
,Dotdash Meredith Food Studios, Divide dough into 10 equal portions, or less if you want larger chapatis. Roll each piece into a ball and let rest for a few minutes.
,Dotdash Meredith Food Studios, Heat a lightly greased skillet over medium heat. Use a rolling pin to roll dough balls out on a lightly floured surface until very thin.
,Dotdash Meredith Food Studios, When the skillet starts to smoke, place a chapati in it. Cook until bottom has brown spots, about 30 seconds, then flip and cook 30 seconds more.
,Dotdash Meredith Food Studios, Repeat to cook remaining chapatis.
,Dotdash Meredith Food Studios",110,3g ,18g ,3g 
Caraway Rye Bread (for the bread machine),10 mins, 4 hrs, 4 hrs 10 mins,"lukewarm water (100 degrees F/38 degrees C),dry milk powder,salt,brown sugar,molasses,butter,whole wheat flour,bread flour,rye flour,caraway seeds,active dry yeast"," Put lukewarm water, milk powder, salt, brown sugar, molasses, butter, whole wheat flour, bread flour, rye flour, caraway seeds, and yeast into the pan of a bread machine in the order suggested by the manufacturer. Select the Grain setting and 2-pound loaf size.
",93,2g ,17g ,2g 
Whole Wheat Banana Nut Bread,15 mins,55 mins, 1 hr 10 mins,"vegetable oil,honey,vanilla extract,eggs,mashed bananas,whole wheat flour,salt,baking soda,hot water,chopped walnuts"," Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan.
, In a large bowl, beat oil and honey together. Add eggs, and mix well. Stir in bananas and vanilla. Stir in flour and salt. Add baking soda to hot water, stir to mix, and then add to batter. Blend in chopped nuts. Spread batter into prepared pan.
, Bake until a toothpick inserted in the center of the loaf comes out clean, 55 to 60 minutes. Cool on wire rack for 1/2 hour before slicing.
",218,11g ,29g ,4g 
Honey Wheat Bread II,30 mins,30 mins, 1 hr,"warm water (110 degrees F/45 degrees C),whole wheat flour,active dry yeast,salt,honey,vegetable oil,all-purpose flour"," Dissolve yeast in warm water. Add honey, and stir well. Mix in whole wheat flour, salt, and vegetable oil. Work all-purpose flour in gradually. Turn dough out onto a lightly floured surface, and knead for at least 10 to 15 minutes. When dough is smooth and elastic, place it in a well oiled bowl. Turn it several times in the bowl to coat the surface of the dough, and cover with a damp cloth. Let rise in a warm place until doubled in bulk, about 45 minutes.
, Punch down the dough. Shape into two loaves, and place into two well greased 9 x 5 inch loaf pans. Allow to rise until dough is 1 to 1 1/2 inches above pans.
, Bake at 375 degrees F (190 degrees C) for 25 to 30 minutes.
",172,4g ,31g ,4g 
Easy 100% Whole Wheat Bread,40 mins,35 mins, 2 hrs 35 mins,"warm water,honey,active dry yeast,whole wheat flour, or more as needed, divided,olive oil,sea salt"," Mix the warm water, honey, and yeast in a stand-mixer bowl until mixture becomes foamy, about 5 minutes.
, Add 1/2 of the whole wheat flour, along with the olive oil and salt. Mix with a spatula or wooden spoon until incorporated. Let sit for 1 to 2 minutes.
, Mix with a dough hook attachment on low speed, slowly adding the remaining whole wheat flour, increasing the speed to high. Mix on high until the batter is combined and not sticking to the sides of the bowl, about 7 minutes. Cover the bowl with a towel and let rest for 15 minutes.
, Meanwhile, prepare a 9x5-inch loaf pan with parchment paper. Flour a surface to work the dough.
, Place the dough onto the floured work surface and shape into a loaf. Use more flour if necessary. Place into the prepared loaf pan.
, Let shaped dough sit in a warm place until it has risen over the top of the pan, about 1 hour.
, Meanwhile, preheat the oven to 350 degrees F (175 degrees C).
, Bake in the preheated oven until top of the loaf sounds hollow when tapped, about 35 minutes. Remove from the oven and let cool for 15 to 20 minutes before removing from the pan and transferring to a wire rack. Let cool an additional hour before slicing; otherwise it will feel doughy.
",140,2g ,28g ,5g 
Bread Machine Almond Bread,10 mins, 3 hrs, 3 hrs 10 mins,"water,honey,almond oil,salt,whole wheat flour,almond flour,vital wheat gluten,xanthan gum,dry yeast"," Combine water, honey, almond oil, salt, whole wheat flour, almond flour, vital wheat gluten, xanthan gum, and yeast in a bread machine. Follow manufacturer's instructions for a 2-pound loaf.
",117,2g ,22g ,5g 
Bread Machine Pumpernickel Bread,10 mins, 3 hrs 45 mins, 3 hrs 55 mins,"warm water,vegetable oil,molasses,cocoa,caraway seed (Optional),salt,bread flour,rye flour,whole wheat flour,vital wheat gluten (Optional),bread machine yeast"," Place ingredients in the pan of the bread machine in the order recommended by the manufacturer. Select Basic cycle; press Start.
",119,2g ,22g ,3g 
